depth,age,bsi
2,-48.9,15.6
6,-34.8,16.8
10,3.1,15.2
14,81.1,12.6
18,138.2,15.2
22,189.9,18.3
26,236.9,18.2
30,280.0,17.7
34,320.1,18.8
38,357.8,18.8
42,394.0,17.0
46,429.4,16.1
48,447.0,17.1
49,455.8,16.5
50,464.7,20.5
51,473.6,19.0
52,482.6,19.4
53,491.7,22.1
55,510.0,17.5
56,519.4,24.3
57,528.8,25.8
58,538.4,20.1
59,548.1,18.9
60,558.0,19.0
61,568.1,19.9
62,578.3,18.1
63,588.7,18.4
64,599.3,16.5
66,621.2,18.9
67,632.5,17.5
68,644.1,18.2
69,655.9,18.6
70,668.0,19.1
71,680.3,18.5
72,693.0,19.3
73,706.0,17.8
74,719.3,18.2
75,732.8,21.4
76,746.6,18.0
77,760.6,15.7
78,774.9,17.1
79,789.4,14.1
80,804.1,13.4
81,819.0,13.1
82,834.2,10.3
83,849.6,12.1
84,865.2,16.4
86,897.0,19.9
87,913.2,20.1
88,929.6,20.9
89,946.2,22.4
90,963.0,22.9
91,979.9,20.9
92,997.1,22.7
93,1014.4,22.1
94,1031.8,22.5
95,1049.4,26.9
96,1067.2,23.2
97,1085.1,20.0
98,1103.2,20.8
99,1121.4,21.4
100,1139.8,20.9
101,1158.2,19.9
102,1176.8,21.0
103,1195.6,21.4
104,1214.4,21.8
105,1233.4,23.4
106,1252.5,22.6
107,1271.6,18.0
108,1290.9,21.8
109,1310.3,21.3
110,1329.7,20.9
111,1349.3,20.0
112,1368.9,21.2
113,1388.6,11.9
115,1428.2,23.6
116,1448.1,18.1
117,1468.0,17.6
118,1488.1,18.9
119,1508.5,18.5
120,1529.1,21.2
121,1550.0,18.9
122,1571.1,19.7
123,1592.4,21.7
124,1614.0,21.2
125,1635.8,23.6
126,1657.8,24.4
127,1680.1,23.1
128,1702.5,22.6
129,1725.1,23.6
130,1747.9,24.4
131,1770.9,22.4
132,1794.1,21.7
133,1817.5,18.4
134,1841.0,20.3
135,1864.7,25.6
136,1888.5,23.3
137,1912.5,21.8
138,1936.6,22.3
139,1960.8,22.1
140,1985.2,21.4
141,2009.7,24.5
142,2034.3,25.7
143,2059.0,18.6
144,2083.8,18.4
146,2133.8,19.4
147,2158.8,18.0
148,2184.0,22.7
149,2209.2,21.3
150,2234.5,21.6
151,2259.9,18.0
152,2285.3,23.4
153,2310.7,19.6
154,2336.2,16.6
155,2361.7,15.9
156,2387.2,11.6
158,2412.8,17.9
159,2438.4,16.7
160,2464.0,17.8
161,2489.7,17.7
162,2515.5,21.1
163,2541.3,23.6
164,2567.2,31.7
166,2619.3,24.8
167,2645.4,17.9
168,2671.6,19.5
169,2697.9,19.3
170,2724.3,20.8
171,2750.7,21.9
172,2777.3,19.8
173,2804.0,13.6
174,2830.8,17.4
176,2884.7,14.2
177,2911.8,7.8
178,2939.1,16.9
179,2966.5,9.2
180,2994.0,13.3
181,3021.6,7.1
182,3049.4,16.0
183,3077.3,9.6
184,3105.4,20.5
185,3133.6,16.3
186,3162.0,18.2
187,3190.5,12.0
188,3219.2,19.0
189,3248.1,12.2
190,3277.1,22.6
191,3306.3,11.9
192,3335.7,23.8
193,3365.2,17.2
194,3395.0,22.1
195,3424.9,19.1
196,3455.0,22.2
197,3485.3,16.0
198,3515.8,15.3
199,3546.6,20.5
200,3577.5,25.3
201,3608.6,19.2
202,3624.3,15.1
203,3640.0,12.9
204,3671.9,18.9
205,3704.8,15.8
206,3738.4,15.5
207,3772.8,15.9
208,3807.8,14.2
209,3843.4,12.8
210,3879.6,19.0
211,3916.2,9.9
212,3953.1,13.3
213,3990.4,13.0
214,4027.9,12.4
215,4065.5,12.7
216,4103.2,16.8
217,4140.9,14.9
218,4178.6,10.6
219,4216.1,12.7
220,4253.4,12.9
221,4290.4,14.4
222,4327.1,12.6
223,4363.3,13.8
224,4399.0,12.1
226,4469.4,13.2
227,4504.2,19.5
228,4538.8,15.8
229,4573.3,12.8
230,4607.6,15.4
231,4641.7,11.7
232,4675.7,14.0
233,4709.7,24.2
234,4743.5,16.1
236,4811.1,12.8
237,4844.8,21.1
238,4878.6,13.3
239,4912.4,20.1
240,4946.2,17.8
241,4980.1,18.4
242,5014.1,15.7
243,5048.2,22.1
244,5082.4,16.7
245,5116.8,20.8
246,5151.3,17.1
247,5186.1,25.0
248,5221.0,26.4
249,5256.2,24.8
250,5291.7,19.4
251,5327.4,28.3
252,5363.5,21.2
253,5399.8,31.3
254,5436.5,32.0
255,5473.6,27.7
256,5511.0,32.8
257,5549.4,27.5
258,5589.5,33.8
259,5630.9,29.1
260,5673.7,24.1
261,5717.8,34.0
262,5763.0,35.8
263,5809.2,32.6
264,5856.4,40.6
266,5953.2,35.8
267,6002.6,32.1
268,6052.6,34.0
269,6102.9,32.4
270,6153.6,32.3
271,6204.5,29.9
272,6255.5,31.3
273,6306.6,29.4
274,6357.5,28.7
275,6408.3,31.3
276,6458.8,33.6
277,6508.9,32.1
278,6558.5,34.4
279,6607.5,33.5
280,6655.8,35.7
281,6703.3,30.5
282,6749.9,44.1
283,6795.5,37.3
284,6840.0,42.2
285,6883.2,32.6
286,6925.2,27.4
287,6965.7,29.3
288,7004.7,37.8
289,7042.1,28.1
290,7077.8,34.0
291,7111.6,33.5
292,7143.5,41.4
293,7173.4,38.6
294,7201.1,38.8
295,7226.6,35.3
296,7249.8,37.7
297,7270.5,41.6
298,7288.7,38.4
299,7304.2,42.5
300,7317.0,39.1
301,7328.1,39.0
302,7338.7,37.9
303,7348.7,36.1
304,7358.3,36.0
305,7367.5,29.8
306,7376.2,35.2
307,7384.4,24.0
308,7392.3,34.8
309,7399.8,29.1
310,7407.0,33.2
311,7413.8,29.7
312,7420.4,38.8
313,7426.6,30.9
314,7432.6,40.1
315,7438.4,32.7
317,7449.3,37.1
318,7454.4,33.9
320,7464.3,36.6
322,7473.8,27.0
324,7483.0,17.1
325,7487.5,15.0
326,7492.1,17.4
328,7501.3,15.9
330,7510.8,17.1
332,7520.7,13.9
334,7531.3,16.6
335,7536.8,15.5
336,7542.6,14.6
338,7554.9,10.3
340,7568.4,15.3
342,7583.2,17.5
344,7599.4,21.6
345,7608.2,22.0
346,7617.4,16.8
355,7627.0,29.3
356,7637.4,37.1
358,7661.1,33.8
360,7688.5,42.8
362,7719.2,39.5
364,7753.0,34.1
365,7770.9,38.3
366,7789.4,41.2
368,7828.3,43.6
370,7869.2,41.7
372,7911.9,44.2
374,7956.1,43.8
375,7978.6,44.5
376,8001.3,44.9
378,8047.4,45.9
380,8094.0,41.5
382,8140.8,39.6
384,8187.4,41.7
385,8210.6,36.3
386,8233.6,41.8
388,8279.1,42.1
390,8323.4,46.6
392,8366.4,43.5
394,8407.6,47.9
395,8427.5,44.9
396,8446.9,48.5
398,8483.7,51.1
400,8518.0,45.1
402,8549.6,24.0
404,8580.8,24.6
405,8596.3,21.4
406,8611.8,31.7
408,8642.7,26.6
410,8673.4,24.9
412,8703.9,27.9
414,8734.2,32.6
415,8749.3,20.5
416,8764.3,29.8
418,8794.1,29.5
420,8823.6,32.0
422,8852.9,34.6
424,8881.8,34.6
425,8896.2,19.6
425,8896.2,27.2
426,8910.4,29.2
428,8938.7,22.9
430,8966.5,28.9
432,8994.0,29.8
434,9021.0,32.6
435,9034.4,27.0
436,9047.6,30.4
438,9073.8,32.0
440,9099.5,28.7
442,9124.7,33.9
444,9149.3,32.4
445,9161.4,27.7
446,9173.4,36.0
448,9197.0,30.6
450,9220.0,29.4
452,9242.4,32.4
453,9253.3,29.2
454,9264.1,31.8
455,9274.8,24.5
456,9285.2,31.7
458,9305.7,36.4
459,9315.7,31.2
460,9325.5,31.6
462,9344.5,33.5
462,9344.5,35.5
464,9362.9,48.3
465,9371.8,35.4
466,9380.5,44.5
467,9389.0,46.4
468,9397.4,41.5
470,9413.9,39.2
472,9430.1,41.2
473,9438.1,40.4
474,9446.0,46.0
475,9453.8,41.6
476,9461.6,40.2
478,9476.9,34.3
479,9484.4,37.6
480,9491.9,43.1
482,9506.7,40.9
483,9513.9,33.4
484,9521.1,39.5
485,9528.3,38.6
486,9535.4,42.2
488,9549.4,31.5
490,9563.1,33.8
491,9569.9,35.0
492,9576.7,32.2
494,9590.0,40.3
495,9596.5,36.6
496,9603.1,38.0
498,9616.0,35.9
500,9628.7,40.0
502,9641.2,37.1
504,9653.6,35.4
505,9659.7,33.1
506,9665.8,34.2
508,9677.8,36.4
510,9689.7,35.5
512,9701.5,38.2
514,9713.1,38.6
515,9718.9,33.7
516,9724.6,31.2
517,9730.4,27.8
518,9736.1,35.9
520,9747.4,32.8
521,9753.0,33.4
522,9758.6,32.3
524,9769.7,37.2
525,9775.2,26.7
526,9780.8,29.0
527,9786.3,30.7
528,9791.8,35.0
530,9802.7,30.5
531,9808.2,28.1
532,9813.6,34.1
534,9824.5,36.1
535,9829.9,32.8
536,9835.3,37.4
538,9846.1,33.8
538,9846.1,38.5
540,9856.9,41.8
541,9862.3,43.9
542,9867.7,41.4
544,9878.5,31.8
545,9883.9,26.8
546,9889.3,33.5
548,9900.2,36.0
550,9911.0,31.9
552,9922.0,35.9
554,9932.9,39.9
555,9938.5,35.7
556,9944.0,39.5
557,9949.5,42.8
558,9955.1,41.0
560,9966.3,45.9
562,9977.6,43.2
564,9988.9,43.6
565,9994.7,37.3
566,10000.4,46.7
568,10012.0,48.4
570,10023.7,48.6
572,10035.6,48.1
574,10047.6,48.4
575,10053.7,39.4
576,10059.8,40.0
578,10072.1,45.8
580,10084.5,49.1
582,10097.2,44.8
584,10110.1,44.5
585,10116.6,42.2
586,10123.1,47.9
588,10136.3,49.8
590,10149.8,39.9
592,10163.5,44.1
593,10170.4,40.7
594,10177.4,50.4
595,10184.5,44.8
596,10191.6,47.2
598,10206.0,46.6
600,10220.7,45.6
602,10235.5,50.3
604,10250.7,43.4
605,10258.3,41.3
606,10266.0,41.0
608,10281.5,34.9
609,10289.3,35.5
611,10305.2,42.4
612,10313.2,33.9
613,10321.2,28.1
614,10329.3,34.1
615,10337.4,33.7
616,10345.6,34.6
618,10362.1,38.2
620,10378.7,39.5
622,10395.6,32.1
624,10412.5,17.9
625,10421.1,31.3
626,10429.7,29.4
628,10446.9,17.7
629,10455.6,13.4
630,10464.3,13.2
632,10481.9,13.6
633,10490.7,13.2
634,10499.6,13.2
635,10508.4,12.8
636,10517.4,14.0
637,10526.3,22.9
638,10535.3,20.1
640,10553.3,12.0
642,10571.4,8.0
644,10589.6,6.3
645,10598.7,4.2
646,10607.9,4.9
649,10635.5,5.4
650,10644.7,10.6
654,10681.9,6.4
655,10691.2,4.6
656,10700.5,3.0
658,10719.2,2.4
664,10775.6,4.5
671,10841.6,8.4
675,10877.1,2.6
