year,val
2006,118.5
2005,203.1
2002,165
1991,11
1979,41
1975,65
1970,23
1965,304.5
1965,21.5
1965,110
1963,107.6
1960,31
1959,44
1958,9.5
1957,18
1956,68.7
1954,38
1952,18.7
1950,27
1949,39.3
1946,20
1944,32
1942,17
1940,9
1939,12
1938,41.8
1936,34.5
1935,5
1932,15
1928,7
1925,3
1923,281.5
1921,397
1920,319.7
1917,152
1914,13
1908,1
1904,21
1900,59
1896,21
1892,14
1889,18
1885,20
1883,18
1882,47
1880,41.5
1878,179
1876,30.5
1874,56
1871,45
1867,47
1864,102
1863,35
1861,143.5
1857,200
1856,154.6
1854,44
1851,57
1848,40
1845,119
1843,38
1839,28
1835,7
1831,21
1828,25
1826,52.7
1822,43
1818,62
1815,31
1812,53
1809,67
1808,33
1805,39
1800,15
1797,22
1793,28
1789,39
1784,77
1779,47
1776,56
1772,62
1768,94
1764,96
1761,128
1758,70
1755,79
1751,42
1748,125
1745,49
1741,71
1737,50.5
1733,44
1730,39
1726,37
1722,22
1717,35
1714,31
1711,235.8
1707,44
1703,53
1699,113
1695,69
1692,42
1687,23
1682,54
1677,71
1671,23
1665,50
1660,56
1656,21
1652,48
1650,31
1646,29
1642,65
1639,24
1634,14
1630,16
1624,31
1619,52
1614,53
1609,78
1603,58
1598,64
1593,42
1588,74
1584,46
1580,47
1575,112
1569,103
1564,103
1559,52
1556,36
1554,56
1551,43.5
1545,36
1541,157
1536,86
1531,79
1526,118
1522,200
1516,81
1511,47
1507,25
1504,34
1500,69
1495,83
1491,40
1487,16
1483,22
1481,70
1478,72
1472,106
1468,162
1464,145
1458,104
1452,190
1447,22
1441,52
1435,35
1429,75
1423,71
1418,32
1412,31
1407,57
1402,24
1397,61
1393,82
1389,255
1384,24
1381,59
1377,139
1375,370.2
1374,70.5
1371,53
1368,72
1365,127
1361,58
1357,62
1353,118
1350,168
1346,146
1344,161.5
1340,272
1336,197
1332,148
1328,135.5
1323,112
1321,253
1318,151
1315,101
1311,225
1307,87
1302,50
1298,17
1295,20
1291,82
1288,21
1284,45
1280,78
1277,29
1275,91
1271,82
1266,57
1263,84
1262,125
1260,69
1258,58
1257,329.6
1254,211
1252,59
1249,32
1247,36
1244,24
1239,26
1233,25
1228,18
1223,35
1219,132
1216,200.5
1211,84
1209,76.5
1204,56.8
1197,58
1191,49
1186,48.5
1181,24.5
1176,51
1172,90.5
1167,149.5
1162,57
1157,55.5
1153,45.5
1149,30.5
1145,175.5
1141,112
1137,57
1134,35.5
1131,52
1127,31
1123,44
1119,72.5
1114,24
1110,38.5
1106,49
1102,34.5
1098,22.5
1094,23.5
1089,28.5
1084,32
1080,31.5
1076,20.5
1072,24.5
1068,29.5
1065,54
1063,13.5
1062,80.5
1061,150.3
1057,180.8
1053,206.3
1051,195.8
1048,230.5
1044,63.5
1040,95.5
1038,123.5
1035,134
1032,45.5
1031,30.5
1028,104
1025,60
1021,79
1017,75.5
1014,61.5
1012,69.3
1011,96
1009,119
1006,461.1
1003,80.5
1000,50.5
998,111.5
996,45.5
993,47
991,63
987,45.5
983,28
979,70.5
977,59
975,31
972,33.5
969,64
967,50.5
966,29.3
960,106
953,108.5
949,95.5
947,84
945,164.5
942,112.8
938,143.8
932,143.5
923,33
917,255.5
910,291
904,134
901,159
897,185
892,116
888,92
883,280
880,180
877,293
875,263
873,267
870,106
865,89
860,67
856,116
850,112
846,138
842,61
836,143
826,75
817,108
811,118
805,98
801,155
798,191
795,221
791,155
785,184
781,185
776,92
772,45
768,65
762,94
756,106
752,101
747,63
742,64
737,38
730,40
724,41
719,21
714,34
708,50
699,52
694,99
688,82
679,63
674,47
670,106.5
664,55
657,77
651,83
646,46
643,15
641,389
636,19
626,37
616,30
607,27
601,58
596,74.3
592,168
589,108
586,70
582,285.2
579,799
575,81
569,36
563,49
558,50
552,52
542,44
535,90
530,220
526,129
521,56
516,36
512,59
507,93
502,112
497,71
493,60
490,42
488,81.5
484,338
481,55
479,168
476,204
472,191
468,226
465,78
460,30
457,79
456,91
452,38
448,36
447,34
445,48
442,81
439,26
437,29
433,93
427,54
422,37
417,50
410,33
404,14
396,34
392,29
388,19
382,51
377,67
371,133
367,115
363,80
359,56
354,59
349,61
344,34
340,39
336,86
330,56
323,73
316,23
311,58
307,19
303,92
299,53
294,55
289,73
285,76
282,36
278,53
273,94
267,49
263,55
262,394.5
260,50
257,115
253,292
250,497
246,84
244,114
242,44.5
240,33.5
237,27
233,45
230,71.5
228,59.5
224,72
221,22
217,40
214,54
209,98
203,34
200,150
187,222.4
173,139
169,43
167,73
165,105
163,118
160,78
158,41
155,42
152,80
147,94.8
141,42
138,26
135,195
126,71.7
116,23
111,43
108,30
105,51
101,27
96,58
88,34
80,72
75,12
68,33
64,21
60,49
56,22
52,17
48,118
43,27
37,40
32,124
27,26
23,24
20,34
15,24
11,14
8,29
6,30
2,21.5
-4,25
-10,23
-16,31
-22,24
-27,16
-35,24
-42,31
-50,27
-55,20
-59,17
-64,27
-70,49
-73,31
